canonical_category,associated_keywords,description
Dairy,"dairy, milk, cattle, bovine, creameries, ghee, butter",Standardized business category for Dairy
Retail,"retail, kirana, grocery, general store, trade, merchant",Standardized business category for Retail
Textiles,"textiles, apparel, garment, weaving, handloom, tailoring, cloth",Standardized business category for Textiles
Food Processing,"food processing, bakery, grain mill, flour mill, oil mill, spice, agro processing",Standardized business category for Food Processing
Agriculture,"agriculture, farming, crop, seeds, fertilizer, farm equipment, pesticides",Standardized business category for Agriculture
Fisheries,"fisheries, aquaculture, fish farming, hatchery, prawn farming",Standardized business category for Fisheries
Poultry,"poultry, hatchery, broiler, egg production, chicken farming",Standardized business category for Poultry
Handicrafts,"handicrafts, pottery, artisans, woodwork, embroidery, crafts",Standardized business category for Handicrafts
Manufacturing,"manufacturing, fabrication, assembly, machinery, engineering, brick kiln",Standardized business category for Manufacturing
Services,"services, consulting, financial, education, training, it services",Standardized business category for Services
Repair/Maintenance,"repair, maintenance, automobile repair, mobile repair, mechanic, workshop",Standardized business category for Repair/Maintenance
Transport,"transport, logistics, freight, cargo, warehousing, taxis",Standardized business category for Transport
Hospitality,"hospitality, hotel, restaurant, eatery, dhaba, lodging",Standardized business category for Hospitality
Personal Services,"personal services, beauty parlour, salon, laundry, barber",Standardized business category for Personal Services
Other,"other, miscellaneous, general",Standardized business category for Other
